tu,điểm,Gloss
xấu,-0.5,
hấp_dẫn,0.875,
vui_vẻ,0.75,
dài,-0.25,
phong_phú,-0.25,
thừa_thãi,-0.375,
khan_hiếm,-0.25,
chấp_nhận,0.625,
chập_chờn,-0.5,
chăm_chút,0.675,
cất_nhắc,0.5,
cấp_bách,-0.25,
be_bét,-0.5,
chằm_chằm,-0.25,
bập_bõm,-0.375,
châm_chọc,-0.5,
bày_vẽ,-0.25,
chằng_chịt,-0.25,
chân_tình,0.75,
chần_chừ,-0.375,
báo_oán,-0.375,
bần_bật,-0.25,
bảo_lãnh,0.25,
bàng_quan,-0.25,
bất_cẩn,-0.25,
tự_nhiên,0.375,
sâu_sắc,0.625,
quý_báu,0.625,
láu_cá,-0.375,
ngon_lành,0.375,
ngạc_nhiên,0.5,
náo_nhiệt,0.375,
thích_hợp,0.75,
tức_giận,-0.875,
chật_hẹp,-0.5,
hào_phóng,0.25,
mơ_hồ,0.125,
vị_tha,0.75,
báo_động,-0.625,
sợ,-0.5,
tiến_bộ,0.5,
rực_rỡ,0.75,
xinh_đẹp,0.875,
quả_quyết,0.5,
yên_lòng,0.5,
đe_dọa,-0.75,
khủng_khiếp,-0.625,
xấu,-0.625,
thông_minh,0.5,
thịnh_vượng,0.625,
xám_xịt,-0.125,
phô_trương,-0.375,
lo_lắng,-0.375,
khờ_dại,-0.375,
nhút_nhát,-0.125,
rõ_ràng,0.375,
cẩn_thận,0.5,
lưỡng_lự,0.0,
tối_dạ,-0.5,
bực_dọc,-0.5,
bẩn_thỉu,-0.75,
ổn_định,0.375,
bình_tĩnh,0.375,
nhàn_rỗi,0.375,
vững_chắc,-0.375,
hăng_hái,0.25,
tối_tăm,-0.375,
tái_mét,-0.25,
hèn_nhát,-0.5,
tệ nhất,-0.5,
tốt_bụng,0.5,
hiểm_ác,-0.75,
hiếm,-0.875,
xanh_tươi,0.375,
lan_tràn,-0.375,
tuyệt_đối,0.5,
không_thể,-0.75,
hạn_chế,-0.75,
bí_mật,0.5,
yếu,-0.25,
ngu_dốt,-0.75,
hà_khắc,-0.75,
sáng_sủa,0.5,
đục,-0.25,
giàu,0.625,
trung_lập,0.0,
trong_sáng,0.5,
cần_thiết,0.5,
căng_thẳng,-0.5,
gây ấn_tượng sâu_sắc,0.5,
nghệ_thuật,0.625,
nhanh_nhạy,0.5,
khéo_léo,0.625,
ẩn,-0.625,
vô_hiệu,-0.5,
chậm,-0.75,
chậm_chạp,-0.5,
nhộn_nhịp,0.5,
nóng,0.5,
hoạt_động,0.375,
không quen_thuộc,-0.75,
chấp_nhận_được,0.625,
ngược_đãi,-0.625,
chặt_chẽ,-0.375,
dịu,-0.375,
kị,-0.75,
không hốt_hoảng,0.375,
không_thể đổi,-0.375,
vô_hồn,-0.75,
sống,0.5,
chết,-0.75,
hữu_hiệu,0.5,
khắc_nghiệt,-0.334,
khó_chịu,-0.75,
dễ_chịu,0.5,
kích_động,-0.5,
hung_dữ,-0.5,
mất bình_tĩnh,-0.625,
e_ngại,-0.5,
thô_bạo,-0.875,
yên_tâm,0.625,
mạch_lạc,0.5,
thận_trọng,0.75,
liều_lĩnh,-0.625,
quá cẩn_thận,0.5,
dơ,-0.75,
hoang_dã,-0.125,
khôn_lường,-0.5,
tính được,0.5,
nhức_óc,-0.5,
đinh_tai,-0.5,
đinh tai nhức_óc,-0.5,
hỗn_tạp,-0.625,
vô_tư,0.5,
khách_quan,0.5,
ghen,-0.375,
sắc_bén,0.5,
tệ,-0.625,
tệ_hại,-0.625,
thô_tục,-0.75,
dơ_bẩn,-0.75,
nguyên_sơ,0.375,
sạch,0.5,
nguyên,-0.75,
nhân_đạo,0.625,
xanh_xao,-0.375,
sôi_động,0.375,
xin_lỗi,-0.625,
uyển_chuyển,0.625,
