tu,pos,neg,neu,polarity
dễ thương,0.992870748,0.001723586,0.005405676,0.991147162
tốt nết,0.992872953,0.001845557,0.005281526,0.991027397
no nê,0.992792606,0.001859762,0.005347681,0.990932844
nuột,0.992705286,0.001794824,0.005499876,0.990910462
tuyệt vời,0.992863834,0.001956659,0.005179509,0.990907175
khoái chí,0.992795885,0.001960618,0.00524355,0.990835267
dị,0.992698848,0.00189765,0.005403549,0.990801198
mỡ,0.992616355,0.001822353,0.005561214,0.990794002
thần tiên,0.992808223,0.002082597,0.005109137,0.990725625
vẻ vang,0.992570341,0.001865277,0.005564399,0.990705064
thú vị,0.992671371,0.002093961,0.005234711,0.99057741
nết na,0.992457271,0.001888305,0.005654419,0.990568966
đẹp lòng,0.992412984,0.001856045,0.005730924,0.99055694
trầm trồ,0.992698371,0.0021417,0.005159898,0.990556671
kháu,0.992352068,0.001806655,0.005841288,0.990545413
ưng,0.992333412,0.001799117,0.005867466,0.990534295
tự hào,0.9921996,0.001694826,0.006105528,0.990504773
sởn sơ,0.99217844,0.001705208,0.00611627,0.990473232
truy hoan,0.992641747,0.002170395,0.005187896,0.990471352
hể hả,0.99210757,0.001643238,0.006249162,0.990464332
không chê được,0.992333889,0.001878304,0.005787868,0.990455585
lạ miệng,0.992620945,0.002217132,0.005161905,0.990403813
bồng lai,0.992477477,0.002083701,0.005438789,0.990393776
sung sướng,0.992057979,0.001676905,0.006265139,0.990381074
tiệc,0.991901219,0.001570982,0.006527723,0.990330237
hâm mộ,0.992338002,0.002029015,0.005633003,0.990308987
hoa lệ,0.992252529,0.001989348,0.005758143,0.990263181
huy hoàng,0.992265522,0.002082837,0.005651618,0.990182685
khoái trá,0.992337644,0.00218677,0.005475583,0.990150874
thanh danh,0.992137134,0.00199506,0.005867761,0.990142074
ngũ phúc,0.992254496,0.002165249,0.005580208,0.990089247
tuyệt diệu,0.992403805,0.002315552,0.005280561,0.990088253
rỡ ràng,0.992230117,0.002151253,0.005618587,0.990078864
toàn thiện,0.991825104,0.001763392,0.006411495,0.990061711
uyển chuyển,0.991897583,0.001865067,0.006237382,0.990032516
hùng tráng,0.992149472,0.002138499,0.005711961,0.990010973
toàn bích,0.992319524,0.002324003,0.005356428,0.989995521
