,tu,đinh_nghia,điểm
0,Giấc mai,mơ mộng hão huyền.,-0.6
1,giấc kê vàng,được dùng với ý công danh phú quí chỉ là hư ảo.,-0.6
2,ca trù,"bài hát nói trong các buổi tế lễ, hội hè thời trước.",0.0
3,bọ chét,có tên khoa học là Aphaniptera hay Siphonaptera; bộ côn trùng hút máu.,-0.5
4,cổ phiếu,chứng từ chứng nhận quyền sở hữu và thu lợi tức cổ phần đối với tài sản hoặc vốn trong một công ty cổ phần.,0.0
5,cà độc dược,"cà mọc hoang, có tên khoa học Datura metel.",-0.3
6,ích mẫu,"cây thân cỏ, có tên khoa học Herba leonuri Heterophylli",0.0
7,bọ ngựa,"có tên khoa học là Mantoptera, thuộc bộ côn trùng, lớp Côn trùng",0.0
8,trái phiếu,"giấy chứng nhận khoản tiền vay tư nhân của nhà nước, của tổ chức phát hành trái phiếu đối với người sở hữu.",0.0
9,bọ,"còn gọi là rệp (bán dẫn), tên gọi khác của mạch vi điện tử, vì được đóng vỏ nhìn giống như con bọ cánh cứng màu thẫm với hai dăy chân",0.0
10,giai cấp,"tập đoàn người đông đảo có địa vị như nhau trong hệ thống sản xuất, trong quan hệ đối với tư liệu sản xuất, trong tổ chức lao động xã hội, trong sự hưởng thụ và do đó có quyền lợi chung, phân biệt với những tập đoàn người khác",0.0
11,ghẻ,"có mối quan hệ không phải là ruột thịt trong gia đình nhưng được coi là mẹ con, cha con giữa những người là con riêng của chồng mình với người vợ trước, hay là con riêng của vợ mình với người chồng trước",0.0
12,canh thiếp,"tờ ghi tên tuổi mà nhà trai, nhà gái trao cho nhau trong lễ hỏi (khi nạp sính trong hôn lễ, hai bên nhà trai gái trao đổi nhau thiếp ghi họ, tên, tuổi, quê quán và kê khai ba đời của đôi trai gái)",0.0
13,giáp bảng,"bảng danh sách những người thi đỗ tiến sĩ (thi đình), cử nhân (thi hương) trong các khoa thi thời phong kiến, trái với ất bảng đề tên những người thi đỗ phó bảng (thi đình) hay tú tài (thi hương).",0.0
14,chùa,"Chùa là công trình kiến trúc phục vụ mục đích tôn giáo và là nơi thờ Phật. Chùa còn là nơi tập trung sinh hoạt, tu hành và thuyết giảng Phật pháp của các sư, tăng (hay ni nếu là chùa nữ).",0.0
15,giáo dục,"hoạt động nhằm tác động có hệ thống đến sự phát triển tinh thần, thể chất của một đối tượng nào đó, làm cho đối tượng ấy dần dần có được phẩm chất, năng lực, trí tuệ,... như yêu cầu đề ra",0.7
16,ích,"tên của một giống chim rất lớn, lông xanh đen, bay lượn không sợ gió. Người ta thường vẽ hình ảnh loài chim này trước mũi thuyền. Về sau, chữ này thường dùng để chỉ chiếc thuyền",0.0
17,gấc,"cây thuộc họ bầu bí, quả to, hình trứng nhọn đầu có gai mềm, sắc xanh, khi chín chuyển sang màu đỏ cam, thường được dùng để thổi xôi; gấc giàu các chất carotenoit  và lycopen.",0.2
