tu,dinh_nghia
Giấc mai,"mơ mộng hão huyền."
giấc kê vàng,"được dùng với ý công danh phú quí chỉ là hư ảo."
ca trù,"bài hát nói trong các buổi tế lễ, hội hè thời trước."
bọ chét,"có tên khoa học là Aphaniptera hay Siphonaptera; bộ côn trùng hút máu."
cổ phiếu,"chứng từ chứng nhận quyền sở hữu và thu lợi tức cổ phần đối với tài sản hoặc vốn trong một công ty cổ phần."
cà độc dược,"cà mọc hoang, có tên khoa học Datura metel."
ích mẫu,"cây thân cỏ, có tên khoa học Herba leonuri Heterophylli"
bọ ngựa,"có tên khoa học là Mantoptera, thuộc bộ côn trùng, lớp Côn trùng"
trái phiếu,"giấy chứng nhận khoản tiền vay tư nhân của nhà nước, của tổ chức phát hành trái phiếu đối với người sở hữu."
bọ,"còn gọi là rệp (bán dẫn), tên gọi khác của mạch vi điện tử, vì được đóng vỏ nhìn giống như con bọ cánh cứng màu thẫm với hai dăy chân"
giai cấp,"tập đoàn người đông đảo có địa vị như nhau trong hệ thống sản xuất, trong quan hệ đối với tư liệu sản xuất, trong tổ chức lao động xã hội, trong sự hưởng thụ và do đó có quyền lợi chung, phân biệt với những tập đoàn người khác"
ghẻ,"có mối quan hệ không phải là ruột thịt trong gia đình nhưng được coi là mẹ con, cha con giữa những người là con riêng của chồng mình với người vợ trước, hay là con riêng của vợ mình với người chồng trước"
canh thiếp,"tờ ghi tên tuổi mà nhà trai, nhà gái trao cho nhau trong lễ hỏi (khi nạp sính trong hôn lễ, hai bên nhà trai gái trao đổi nhau thiếp ghi họ, tên, tuổi, quê quán và kê khai ba đời của đôi trai gái)"
giáp bảng,"bảng danh sách những người thi đỗ tiến sĩ (thi đình), cử nhân (thi hương) trong các khoa thi thời phong kiến, trái với ất bảng đề tên những người thi đỗ phó bảng (thi đình) hay tú tài (thi hương)."
chùa,"Chùa là công trình kiến trúc phục vụ mục đích tôn giáo và là nơi thờ Phật. Chùa còn là nơi tập trung sinh hoạt, tu hành và thuyết giảng Phật pháp của các sư, tăng (hay ni nếu là chùa nữ)."
giáo dục,"hoạt động nhằm tác động có hệ thống đến sự phát triển tinh thần, thể chất của một đối tượng nào đó, làm cho đối tượng ấy dần dần có được phẩm chất, năng lực, trí tuệ,... như yêu cầu đề ra"
ích,"tên của một giống chim rất lớn, lông xanh đen, bay lượn không sợ gió. Người ta thường vẽ hình ảnh loài chim này trước mũi thuyền. Về sau, chữ này thường dùng để chỉ chiếc thuyền"
